,TOPIC,CLASSIFICATION,GROUP,SUBGROUP,ESTIMATE,TIME_PERIOD,REVERSE_ESTIMATE
10883,Did not get needed medical care due to cost,Demographic Characteristic,Nativity,Foreign-born,8.2,2024,91.8
10884,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native only,11.2,2019,88.8
10885,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native only,8.3,2020,91.7
10886,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native only,7.8,2021,92.2
10888,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native only,8.3,2023,91.7
10889,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native only,10.4,2024,89.6
10890,Did not get needed medical care due to cost,Demographic Characteristic,Race,Asian only,3.6,2019,96.4
10891,Did not get needed medical care due to cost,Demographic Characteristic,Race,Asian only,3.5,2020,96.5
10892,Did not get needed medical care due to cost,Demographic Characteristic,Race,Asian only,2.6,2021,97.4
10893,Did not get needed medical care due to cost,Demographic Characteristic,Race,Asian only,3.8,2022,96.2
10894,Did not get needed medical care due to cost,Demographic Characteristic,Race,Asian only,3.6,2023,96.4
10895,Did not get needed medical care due to cost,Demographic Characteristic,Race,Asian only,3.7,2024,96.3
10896,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black only,11.1,2019,88.9
10897,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black only,7.9,2020,92.1
10898,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black only,7.2,2021,92.8
10899,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black only,7.2,2022,92.8
10900,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black only,8.1,2023,91.9
10901,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black only,8.3,2024,91.7
10904,Did not get needed medical care due to cost,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,14.1,2021,85.9
10907,Did not get needed medical care due to cost,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,15.0,2024,85.0
10908,Did not get needed medical care due to cost,Demographic Characteristic,Race,White only,7.8,2019,92.2
10909,Did not get needed medical care due to cost,Demographic Characteristic,Race,White only,6.2,2020,93.8
10910,Did not get needed medical care due to cost,Demographic Characteristic,Race,White only,5.8,2021,94.2
10911,Did not get needed medical care due to cost,Demographic Characteristic,Race,White only,5.9,2022,94.1
10912,Did not get needed medical care due to cost,Demographic Characteristic,Race,White only,5.9,2023,94.1
10913,Did not get needed medical care due to cost,Demographic Characteristic,Race,White only,7.1,2024,92.9
10914,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native and White,12.8,2019,87.2
10916,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native and White,9.9,2021,90.1
10917,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native and White,8.3,2022,91.7
10918,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native and White,13.2,2023,86.8
10919,Did not get needed medical care due to cost,Demographic Characteristic,Race,American Indian and Alaska Native and White,11.4,2024,88.6
10920,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black and White,14.1,2019,85.9
10922,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black and White,9.7,2021,90.3
10925,Did not get needed medical care due to cost,Demographic Characteristic,Race,Black and White,13.6,2024,86.4
10926,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",12.2,2019,87.8
10927,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",9.5,2020,90.5
10928,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",8.0,2021,92.0
10929,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",10.3,2022,89.7
10930,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",9.3,2023,90.7
10931,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",9.4,2024,90.6
10932,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",12.2,2019,87.8
10933,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",9.7,2020,90.3
10934,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",8.6,2021,91.4
10935,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",10.6,2022,89.4
10936,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",9.6,2023,90.4
10937,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic, Mexican",9.1,2024,90.9
10938,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",7.5,2019,92.5
10939,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",6.1,2020,93.9
10940,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",5.7,2021,94.3
10941,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",5.4,2022,94.6
10942,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",5.7,2023,94.3
10943,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",6.9,2024,93.1
10944,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",11.1,2019,88.9
10945,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",7.9,2020,92.1
10946,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",7.3,2021,92.7
10947,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",7.4,2022,92.6
10948,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",8.1,2023,91.9
10949,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",8.2,2024,91.8
10950,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",7.1,2019,92.9
10951,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",5.9,2020,94.1
10952,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",5.5,2021,94.5
10953,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",5.2,2022,94.8
10954,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",5.3,2023,94.7
10955,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",6.9,2024,93.1
10956,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",5.5,2019,94.5
10957,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",5.0,2020,95.0
10958,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",4.5,2021,95.5
10959,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",4.6,2022,95.4
10960,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",5.1,2023,94.9
10961,Did not get needed medical care due to cost,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",5.9,2024,94.1
10962,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Female,9.5,2019,90.5
10963,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Female,7.6,2020,92.4
10964,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Female,6.7,2021,93.3
10965,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Female,7.1,2022,92.9
10966,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Female,7.1,2023,92.9
10967,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Female,8.2,2024,91.8
10968,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Male,6.9,2019,93.1
10969,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Male,5.6,2020,94.4
10970,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Male,5.4,2021,94.6
10971,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Male,5.4,2022,94.6
10972,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Male,5.5,2023,94.5
10973,Did not get needed medical care due to cost,Demographic Characteristic,Sex,Male,6.5,2024,93.5
10974,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Bisexual,19.9,2019,80.1
10975,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Bisexual,17.1,2020,82.9
10976,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Bisexual,17.5,2021,82.5
10977,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Bisexual,11.8,2022,88.2
10978,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Bisexual,14.9,2023,85.1
10979,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Bisexual,20.1,2024,79.9
10980,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,6.0,2019,94.0
10981,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,10.9,2020,89.1
10982,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,8.3,2021,91.7
10983,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,7.5,2022,92.5
10984,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,7.6,2023,92.4
10985,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Gay or Lesbian,7.8,2024,92.2
10986,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Straight,8.0,2019,92.0
10987,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Straight,6.3,2020,93.7
10988,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Straight,5.7,2021,94.3
10989,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Straight,5.9,2022,94.1
10990,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Straight,6.0,2023,94.0
10991,Did not get needed medical care due to cost,Demographic Characteristic,Sexual orientation,Straight,6.8,2024,93.2
10992,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Veteran,5.1,2019,94.9
10993,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Veteran,3.5,2020,96.5
10994,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Veteran,3.6,2021,96.4
10995,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Veteran,3.6,2022,96.4
10996,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Veteran,3.5,2023,96.5
10997,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Veteran,4.1,2024,95.9
10998,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Non-veteran,8.5,2019,91.5
10999,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Non-veteran,6.9,2020,93.1
11000,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Non-veteran,6.3,2021,93.7
11001,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Non-veteran,6.4,2022,93.6
11002,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Non-veteran,6.6,2023,93.4
11003,Did not get needed medical care due to cost,Demographic Characteristic,Veteran status,Non-veteran,7.6,2024,92.4
11004,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,7.8,2019,92.2
11005,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,6.1,2020,93.9
11006,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,5.7,2021,94.3
11007,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,6.2,2022,93.8
11008,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,5.8,2023,94.2
11009,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Large MSA,6.9,2024,93.1
11010,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,8.8,2019,91.2
11011,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,7.4,2020,92.6
11012,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,6.1,2021,93.9
11013,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,6.1,2022,93.9
11014,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,7.2,2023,92.8
11015,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Small MSA,8.4,2024,91.6
11016,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,9.4,2019,90.6
11017,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,7.3,2020,92.7
11018,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,7.4,2021,92.6
11019,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,6.9,2022,93.1
11020,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,6.5,2023,93.5
11021,Did not get needed medical care due to cost,Geographic Characteristic,Metropolitan statistical area,Non-MSA,7.0,2024,93.0
11022,Did not get needed medical care due to cost,Geographic Characteristic,Region,Northeast,5.2,2019,94.8
11023,Did not get needed medical care due to cost,Geographic Characteristic,Region,Northeast,4.6,2020,95.4
11024,Did not get needed medical care due to cost,Geographic Characteristic,Region,Northeast,4.1,2021,95.9
11025,Did not get needed medical care due to cost,Geographic Characteristic,Region,Northeast,4.3,2022,95.7
11026,Did not get needed medical care due to cost,Geographic Characteristic,Region,Northeast,4.0,2023,96.0
11027,Did not get needed medical care due to cost,Geographic Characteristic,Region,Northeast,5.3,2024,94.7
11028,Did not get needed medical care due to cost,Geographic Characteristic,Region,Midwest,7.5,2019,92.5
11029,Did not get needed medical care due to cost,Geographic Characteristic,Region,Midwest,6.5,2020,93.5
11030,Did not get needed medical care due to cost,Geographic Characteristic,Region,Midwest,5.7,2021,94.3
11031,Did not get needed medical care due to cost,Geographic Characteristic,Region,Midwest,5.3,2022,94.7
11032,Did not get needed medical care due to cost,Geographic Characteristic,Region,Midwest,4.9,2023,95.1
11033,Did not get needed medical care due to cost,Geographic Characteristic,Region,Midwest,6.9,2024,93.1
11034,Did not get needed medical care due to cost,Geographic Characteristic,Region,South,10.7,2019,89.3
11035,Did not get needed medical care due to cost,Geographic Characteristic,Region,South,8.1,2020,91.9
11036,Did not get needed medical care due to cost,Geographic Characteristic,Region,South,7.2,2021,92.8
11037,Did not get needed medical care due to cost,Geographic Characteristic,Region,South,7.8,2022,92.2
11038,Did not get needed medical care due to cost,Geographic Characteristic,Region,South,8.2,2023,91.8
11039,Did not get needed medical care due to cost,Geographic Characteristic,Region,South,8.9,2024,91.1
11040,Did not get needed medical care due to cost,Geographic Characteristic,Region,West,7.4,2019,92.6
11041,Did not get needed medical care due to cost,Geographic Characteristic,Region,West,5.9,2020,94.1
11042,Did not get needed medical care due to cost,Geographic Characteristic,Region,West,6.0,2021,94.0
11043,Did not get needed medical care due to cost,Geographic Characteristic,Region,West,6.1,2022,93.9
11044,Did not get needed medical care due to cost,Geographic Characteristic,Region,West,6.1,2023,93.9
11045,Did not get needed medical care due to cost,Geographic Characteristic,Region,West,6.9,2024,93.1
11046,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,5.5,2019,94.5
11047,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,5.4,2020,94.6
11048,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,4.9,2021,95.1
11049,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,4.7,2022,95.3
11050,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,4.4,2023,95.6
11051,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Little to no social vulnerability,6.2,2024,93.8
11052,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,8.1,2019,91.9
11053,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,6.3,2020,93.7
11054,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,5.6,2021,94.4
11055,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,5.5,2022,94.5
11056,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,5.6,2023,94.4
11057,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Low social vulnerability,6.6,2024,93.4
11058,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,9.1,2019,90.9
11059,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,7.0,2020,93.0
11060,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,6.7,2021,93.3
11061,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,6.5,2022,93.5
11062,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,6.7,2023,93.3
11063,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,Medium social vulnerability,8.0,2024,92.0
11064,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,9.7,2019,90.3
11065,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,7.4,2020,92.6
11066,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,6.6,2021,93.4
11067,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,7.4,2022,92.6
11068,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,7.4,2023,92.6
11069,Did not get needed medical care due to cost,Geographic Characteristic,Social vulnerability,High social vulnerability,7.9,2024,92.1
11070,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large central metro,8.4,2019,91.6
11071,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large central metro,6.1,2020,93.9
11072,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large central metro,5.9,2021,94.1
11073,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large central metro,6.7,2022,93.3
11074,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large central metro,6.1,2023,93.9
11075,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large central metro,7.2,2024,92.8
11076,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,7.2,2019,92.8
11077,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,6.0,2020,94.0
11078,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,5.4,2021,94.6
11079,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,5.6,2022,94.4
11080,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,5.4,2023,94.6
11081,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Large fringe metro,6.6,2024,93.4
11082,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,8.6,2019,91.4
11083,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,7.4,2020,92.6
11084,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,6.2,2021,93.8
11085,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,6.2,2022,93.8
11086,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,7.3,2023,92.7
11087,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Medium and small metro,8.3,2024,91.7
11088,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,9.4,2019,90.6
11089,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,7.3,2020,92.7
11090,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,7.4,2021,92.6
11091,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,6.9,2022,93.1
11092,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,6.5,2023,93.5
11093,Did not get needed medical care due to cost,Geographic Characteristic,Urbanicity,Nonmetropolitan,7.4,2024,92.6
11094,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,13.6,2019,86.4
11095,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,10.1,2020,89.9
11096,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,9.2,2021,90.8
11097,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,11.2,2022,88.8
11098,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,10.3,2023,89.7
11099,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,No high school diploma or GED,10.4,2024,89.6
11100,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,9.9,2019,90.1
11101,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,7.7,2020,92.3
11102,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,6.9,2021,93.1
11103,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,7.2,2022,92.8
11104,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,7.5,2023,92.5
11105,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,High school diploma or GED,7.9,2024,92.1
11106,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,Some college,9.2,2019,90.8
11107,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,Some college,7.4,2020,92.6
11108,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,Some college,7.1,2021,92.9
11109,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,Some college,6.7,2022,93.3
11110,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,Some college,7.3,2023,92.7
11111,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,Some college,9.1,2024,90.9
11112,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,College degree or higher,4.3,2019,95.7
11113,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,College degree or higher,3.9,2020,96.1
11114,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,College degree or higher,4.4,2021,95.6
11115,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,College degree or higher,4.0,2022,96.0
11116,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,College degree or higher,4.0,2023,96.0
11117,Did not get needed medical care due to cost,Socioeconomic Characteristic,Education,College degree or higher,5.3,2024,94.7
11118,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed,8.4,2019,91.6
11119,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed,6.7,2020,93.3
11120,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed,6.2,2021,93.8
11121,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed,6.6,2022,93.4
11122,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed,6.6,2023,93.4
11123,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed,8.2,2024,91.8
11124,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,8.3,2019,91.7
11125,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,6.5,2020,93.5
11126,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,6.1,2021,93.9
11127,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,6.4,2022,93.6
11128,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,6.4,2023,93.6
11129,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Full-time,7.9,2024,92.1
11130,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,8.9,2019,91.1
11131,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,7.7,2020,92.3
11132,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,6.9,2021,93.1
11133,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,7.6,2022,92.4
11134,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,7.1,2023,92.9
11135,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Employed - Part-time,9.0,2024,91.0
11136,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed,7.8,2019,92.2
11137,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed,6.4,2020,93.6
11138,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed,5.8,2021,94.2
11139,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed,5.4,2022,94.6
11140,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed,6.0,2023,94.0
11141,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed,6.0,2024,94.0
11142,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,7.9,2019,92.1
11143,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,6.5,2020,93.5
11144,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,6.0,2021,94.0
11145,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,5.5,2022,94.5
11146,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,6.2,2023,93.8
11147,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has worked previously,6.2,2024,93.8
11148,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,7.0,2019,93.0
11149,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,5.3,2020,94.7
11150,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2.8,2021,97.2
11151,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,3.7,2022,96.3
11152,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,2.7,2023,97.3
11153,Did not get needed medical care due to cost,Socioeconomic Characteristic,Employment status,Not employed - Has never worked,3.8,2024,96.2
11154,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,1.7,2019,98.3
